Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1486847017959624711,sim☕️,2022-01-27 23:42:08+00:00,0,"comunque, petizione per far ritagliare i capelli a luigi?  caroligi  Amici21  luigi ",#caroligi#Amici21#luigi,3,0.0,Luigi
1486845891495538696,Gli 🏹 di Alex W,2022-01-27 23:37:39+00:00,0,E comunque io vorrei vedere e sentire anche la sfuriata Mariana di Natale con tanto di giugulare fuori di Maria verso i ragazzi per non aver fatto i compiti durante la pausa... Amici21  alexwyse  Alex ,#Amici21#alexwyse#Alex,3,0.0,Alex
1486837820169854976,adri | safe place :),2022-01-27 23:05:35+00:00,0,dite quello che volete ma secondo me quando francesco canta emoziona molto di più di chi magari ha la nota perfetta  Amici21  Crytical,#Amici21#Crytical,4,0.34,
1486837586723278857,Silvia,2022-01-27 23:04:39+00:00,4,"È passata mezzanotte, correte a dare i 5 voti giornalieri a Partirò da zero di Luigi caroligi  Amici21  Luigi  luigistrangis  streammuro  radioxpartirodazero  radiozeta://t.co/6Gu4JsbooU",#caroligi#Amici21#Luigi#luigistrangis#streammuro#radioxpartirodazero#radiozeta://t.co/6Gu4JsbooU,3,0.0,Luigi
1486823359916789761,Giulia 🎀,2022-01-27 22:08:07+00:00,5,io lavo tu posi 💀 crossover edition     amici21  cosmex  alexwyse  cosmary ,#amici21#cosmex#alexwyse#cosmary,3,0.0,Alex;Cosmary
1486815109418823685,i_capelli_di_rudy,2022-01-27 21:35:20+00:00,0,comunque faccio finta di stare bene ma non l’ho ancora digerita questa  AMICI21  amici2021  rea  rudyzerbi  ingiusto  wrong ,#AMICI21#amici2021#rea#rudyzerbi#ingiusto#wrong,2,-0.4767,Rea
1486814328917479424,i_capelli_di_rudy,2022-01-27 21:32:14+00:00,0,amiamo vedere la petty bimba di alex  AMICI21  amici2021  rudy  zerbi  petty  crytical ,#AMICI21#amici2021#rudy#zerbi#petty#crytical,2,-0.3818,Alex
1486814002676125696,i_capelli_di_rudy,2022-01-27 21:30:56+00:00,0,lo sentite anche voi? ta🎪🎡🤡ta🎡🎪🤡ta🤡🎪🎡ra🤡🎪🎡ra🤡🎡🎪  rudy  rudyzerbi  zerbi  petty  amici2021  AMICI21  crytical ,#rudy#rudyzerbi#zerbi#petty#amici2021#AMICI21#crytical,2,-0.2023,
1486813729534758915,i_capelli_di_rudy,2022-01-27 21:29:51+00:00,0,è proprio infantile non solo questo ma il fatto che rimane imbambolato tutto il tempo e un mese prima del serale si deve ridurre così:  rudyzerbi  petty  crytical  AMICI21  amici2021 ,#rudyzerbi#petty#crytical#AMICI21#amici2021,2,-0.2023,
1486809384554532865,Anna🦋,2022-01-27 21:12:35+00:00,7,"Comunque il fandom cosmex vince su tutto, anche in tendenza ❤️‍🩹  Amici21  Alex  alexecosmary  cosmary  cosmex",#Amici21#Alex#alexecosmary#cosmary#cosmex,3,0.0,
