Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1472716432173580288,Chiara,2021-12-19 23:52:13+00:00,3,stream prima di te prima di te prima di tee 🎶  amici21  albe ,#amici21#albe,3,0.0,Rea;Albe
1472711407472975882,Mar❁,2021-12-19 23:32:15+00:00,0,Comunque Todaro e Peparini imbarazzanti  Amici21  carola,#Amici21#carola,3,0.0,
1472705680322838528,𝙲𝚑𝚒𝚊𝚛𝚊 🩰🦋🤍,2021-12-19 23:09:30+00:00,5,Pronta ad ascoltarla in loop 🥺🤍🐊  albe  amici21 ,#albe#amici21,3,0.0,
1472704523546341392,Giorgia Nonis,2021-12-19 23:04:54+00:00,7,"È Natale e siamo tutti più buoni, anche se in realtà per questa piccola grande persona non serve essere più buoni.Con l’inizio dell’anno nuovo le soglie per il disco d’oro aumenteranno da 35k a 50k.Facciamogli questo regalo, se lo merita ⭐️❤️‍🩹 Amici21  Alex  Starwyse ",#Amici21#Alex#Starwyse,3,0.0,
1472700633652379652,Alessia,2021-12-19 22:49:27+00:00,4,SOTTO MILLE TRENI  amici21  alex ,#amici21#alex,3,0.0,Alex
1472695673841664004,Julia782,2021-12-19 22:29:44+00:00,3,Durante la lettura della lettera della sorella stava x piangere 😢...piiiiiiiiccolo  Alex  Amici21 ,#Alex#Amici21,2,-0.4767,
1472693144236044296,Yle,2021-12-19 22:19:41+00:00,1,"Raga bisogna impegnarsi per il disco d'oro di Alex, manca pochissimo al nuovo anno 😭😭😭  amici21  alex  alexwyse",#amici21#alex#alexwyse,1,-0.8519,Alex
1472692532761014278,Camilla,2021-12-19 22:17:15+00:00,1,Ma Alex con la giacca di Cosmary e il bracciale uguale a quello che ha la ex su insta? 👀 no vabbè…  Amici21  alex ,#Amici21#alex,3,0.0516,Alex
1472689937019510786,Taty35,2021-12-19 22:06:56+00:00,3,Questo filmato è da spalmare fino alla prossima puntata. Non vedo grosse differenze a parte i blocchi. Ma credo sia comprensibile visto il background di Carola. Continuate a rosicare... Carola  caroligi  Amici21 ,#Carola#caroligi#Amici21,3,0.0,Carola
1472686349400657930,higher ground,2021-12-19 21:52:41+00:00,1,Consiglio per  Alex e  cosmary : scopate in camera in queste settimane libere perché Cosmary a gennaio potrebbe non esserci più ad  AMICI21 !!! mattia  christianstefanelli  dario  haimaiscopatoincamera,#Alex#cosmary#AMICI21#mattia#christianstefanelli#dario#haimaiscopatoincamera,3,0.0,Cosmary;Dario
1472685050093359110,nellavitaprendosolopali,2021-12-19 21:47:31+00:00,1,LDAILVERO MI STENDE STO RAGAZZO  Amici21  LDA ,#Amici21#LDA,3,0.0,LDA
