Name_concorrente,score_negativo,score_tendente_negativo,score_neutro,score_tendente_positivo,score_positivo
Elena,0,4,64,11,13
Mattia,6,37,178,53,79
Serena,0,12,49,13,9
Carola,11,16,156,63,54
Luigi,3,14,191,27,54
Alex,13,48,514,114,104
Christian,9,34,227,70,66
Sissi,1,11,45,11,6
Guido,2,11,31,11,6
Dario,0,5,40,14,14
Rea,1,6,78,16,18
LDA,0,4,70,16,14
Virginia,1,1,4,3,1
Nicol,0,1,16,3,2
Tommaso,0,1,0,0,3
Aisha,0,2,14,2,2
Albe,0,4,59,14,9
Cosmary,0,10,56,18,7
Crytical,1,7,28,6,4
Nicole,0,0,5,2,1
