Id,Screen_name,Created_at,Retweet,Text,Hashtags,Sentiment,Compound,Ents
1469452235264479233,Tw quello che mi piace,2021-12-10 23:41:28+00:00,3,Carole si può solo Amare💘 Amici21  carola  caroligi non e' x tutti😘 ,#Amici21#carola#caroligi,5,0.7906,
1469443645229129746,MDT,2021-12-10 23:07:20+00:00,1,"Se davvero è successo qualcosa o semplicemente C ha preso le distanze io un po’ sono felice, perché penso possa fare bene a entrambi per avere più consapevolezza e chiarezza su di loro e sul rapporto a prescindere da tutto  caroligi  Amici21  carola  luigi 🌻 ",#caroligi#Amici21#carola#luigi,4,0.34,
1469433890691551239,ta_ls,2021-12-10 22:28:34+00:00,2,Alex che commenta il video di Elena mentre canta🥰🥰   elena  alex  amici21 ,#elena#alex#amici21,5,0.9393,Alex;Elena
1469428844960665606,marimar,2021-12-10 22:08:31+00:00,0,Diffondete ⚠️Che Alex se lo merita ❤️ Amici21  Amicispoiler  Alex ,#Amici21#Amicispoiler#Alex,3,0.0,Alex
1469423946558853123,Albe Fanclub 🌄,2021-12-10 21:49:04+00:00,7,"Indipendentemente da ciò che succederà domenica io sarò sempre qui a supportarti. Sono fiero del tuo percorso, sono sicuro che dentro o no ad Amici tu nella vita avrai successo. Non smettere MAI di sognare. Avanti tutta per domenica 🐊.  Albe  Amici21 ",#Albe#Amici21,2,-0.296,
1469419249005387786,marimar,2021-12-10 21:30:24+00:00,0,"Io lo amo ❤️ che che è per dentro e per fuori questo ragazzo , unico ! ⭐️Persone come Alex con questa sensibilità a le emozione meritano il mondo 😍 alexwyse  Alex  Amici21  Amicispoiler ",#alexwyse#Alex#Amici21#Amicispoiler,4,0.5093,Alex
1469418008284172289,🦋🦋🦋,2021-12-10 21:25:28+00:00,0,un cuore grande grande❤️ Amici21  LDA ,#Amici21#LDA,3,0.0,
1469416421109153792,Alexsupporter,2021-12-10 21:19:09+00:00,0,Raga allora chi ha android può tranquillamente acquistarlo su amazon amici21  alex  alexwyse ,#amici21#alex#alexwyse,4,0.4767,
1469415806727507976,Amici🕺🕺,2021-12-10 21:16:43+00:00,2,"Si dice 'Mattia Zenzola', si legge 'sconnesso' 🤭 ahahah scherzo (o forse no).. in ogni caso ti amiamo 🥰 Mattia  Amici21",#Mattia#Amici21,5,0.8885,Mattia
1469413231496212485,nellavitaprendosolopali,2021-12-10 21:06:29+00:00,6,il fatto che in quel momento solo suo abbia pensato ai suoi compagni addirittura quelli che sono usciti mi fa capire che questo ragazzo ha un cuore d’oro   Amici21  LDA ,#Amici21#LDA,4,0.34,
